Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/modbus/target/generated-sources/plc4x/org/apache/plc4x/java/modbus/readwrite/ModbusPDUWriteMultipleHoldingRegistersResponse.java:109,Security (Vulnerabilities)
To-Do,New,Normal,771E5717-2B4D-64FC-9A63-E16701E24D0D: Redundant Null Check,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetError.java:81,Security (Vulnerabilities)
To-Do,New,Normal,1834C857-2848-41F2-98F7-D5C5F157E729: Missing Check for Null Parameter,Low,,plc4j/drivers/s7/target/generated-sources/plc4x/org/apache/plc4x/java/s7/readwrite/SzlId.java:150,Security (Vulnerabilities)
To-Do,New,Normal,1834C857-2848-41F2-98F7-D5C5F157E729: Missing Check for Null Parameter,Low,,plc4j/drivers/opcua/target/generated-sources/plc4x/org/apache/plc4x/java/opcua/readwrite/HistoryUpdateRequest.java:174,Security (Vulnerabilities)
To-Do,New,Normal,0C82D0B5-1B23-4D56-B38E-F6263A454766: Dead Code: Expression is Always true,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/SecurityResponseCodeTagged.java:182,Security (Vulnerabilities)
To-Do,New,Normal,1834C857-2848-41F2-98F7-D5C5F157E729: Missing Check for Null Parameter,Low,,plc4j/drivers/c-bus/target/generated-sources/plc4x/org/apache/plc4x/java/cbus/readwrite/IdentifyReplyCommandFirmwareVersion.java:124,Security (Vulnerabilities)
To-Do,New,Normal,0C82D0B5-1B23-4D56-B38E-F6263A454766: Dead Code: Expression is Always true,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetConstructedDataCommandAll.java:99,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetChannelValueInteger.java:76,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/c-bus/target/generated-sources/plc4x/org/apache/plc4x/java/cbus/readwrite/SecurityDataAlarmOff.java:49,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/knxnetip/target/generated-sources/plc4x/org/apache/plc4x/java/knxnetip/readwrite/KnxAddress.java:105,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/knxnetip/target/generated-sources/plc4x/org/apache/plc4x/java/knxnetip/readwrite/GroupObjectDescriptorRealisationType1.java:204,Security (Vulnerabilities)
To-Do,New,Normal,1834C857-2848-41F2-98F7-D5C5F157E729: Missing Check for Null Parameter,Low,,plc4j/drivers/c-bus/target/generated-sources/plc4x/org/apache/plc4x/java/cbus/readwrite/SecurityDataArmSystem.java:190,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetConstructedDataLastCredentialAddedTime.java:133,Security (Vulnerabilities)
To-Do,New,Normal,FE7263A8-4A1C-4048-9F53-5B892AC7533A: Poor Style: Confusing Naming,Low,,plc4j/spi/src/main/java/org/apache/plc4x/java/spi/connection/SingleProtocolStackConfigurer.java:143,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetPropertyStatesPolarity.java:88,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/opcua/target/generated-sources/plc4x/org/apache/plc4x/java/opcua/readwrite/HistoryReadRequest.java:182,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetPropertyStatesReasonForHalt.java:88,Security (Vulnerabilities)
To-Do,New,Normal,1834C857-2848-41F2-98F7-D5C5F157E729: Missing Check for Null Parameter,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetConstructedDataNetworkPortAll.java:135,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/knxnetip/target/generated-sources/plc4x/org/apache/plc4x/java/knxnetip/readwrite/DeviceConfigurationAckDataBlock.java:120,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/opcua/target/generated-sources/plc4x/org/apache/plc4x/java/opcua/readwrite/NodeReference.java:92,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/opcua/target/generated-sources/plc4x/org/apache/plc4x/java/opcua/readwrite/MonitoredItemCreateResult.java:90,Security (Vulnerabilities)
To-Do,New,Normal,73B5DD01-BFBE-4CD5-8759-C432873136FB: J2EE Bad Practices: Sockets,Low,,plc4j/transports/tcp/src/main/java/org/apache/plc4x/java/transport/tcp/TcpTransport.java:75,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/c-bus/target/generated-sources/plc4x/org/apache/plc4x/java/cbus/readwrite/LevelInformation.java:111,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetRelationshipTagged.java:136,Security (Vulnerabilities)
To-Do,New,Normal,0C82D0B5-1B23-4D56-B38E-F6263A454766: Dead Code: Expression is Always true,Low,,plc4j/drivers/c-bus/target/generated-sources/plc4x/org/apache/plc4x/java/cbus/readwrite/AirConditioningDataZoneHumidity.java:204,Security (Vulnerabilities)
To-Do,New,Normal,771E5717-2B4D-64FC-9A63-E16701E24D0D: Redundant Null Check,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetReadAccessProperty.java:121,Security (Vulnerabilities)
To-Do,New,Normal,0C82D0B5-1B23-4D56-B38E-F6263A454766: Dead Code: Expression is Always true,Low,,plc4j/drivers/knxnetip/target/generated-sources/plc4x/org/apache/plc4x/java/knxnetip/readwrite/ApduDataExtPropertyValueResponse.java:206,Security (Vulnerabilities)
To-Do,New,Normal,8ECE1D9E-AE40-4AD1-9ECB-6D024DBF8FCA: J2EE Bad Practices: Threads,Low,,plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/protocol/S7ProtocolEventLogic.java:75,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/c-bus/target/generated-sources/plc4x/org/apache/plc4x/java/cbus/readwrite/MediaTransportControlDataTotalTracks.java:83,Security (Vulnerabilities)
To-Do,New,Normal,0C82D0B5-1B23-4D56-B38E-F6263A454766: Dead Code: Expression is Always true,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetConstructedDataBACnetIPNATTraversal.java:186,Security (Vulnerabilities)
To-Do,New,Normal,771E5717-2B4D-64FC-9A63-E16701E24D0D: Redundant Null Check,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/ErrorClassTagged.java:139,Security (Vulnerabilities)
To-Do,New,Normal,0C82D0B5-1B23-4D56-B38E-F6263A454766: Dead Code: Expression is Always true,Low,,plc4j/drivers/opcua/target/generated-sources/plc4x/org/apache/plc4x/java/opcua/readwrite/NodeIdFourByte.java:154,Security (Vulnerabilities)
To-Do,New,Normal,1834C857-2848-41F2-98F7-D5C5F157E729: Missing Check for Null Parameter,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetHostAddressIpAddress.java:125,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/opcua/target/generated-sources/plc4x/org/apache/plc4x/java/opcua/readwrite/GetEndpointsRequest.java:97,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetConstructedDataProgramLocation.java:133,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/opcua/target/generated-sources/plc4x/org/apache/plc4x/java/opcua/readwrite/Annotation.java:114,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetPropertyStatesProgramChange.java:76,Security (Vulnerabilities)
To-Do,New,Normal,0C82D0B5-1B23-4D56-B38E-F6263A454766: Dead Code: Expression is Always true,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetOpeningTag.java:144,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/c-bus/target/generated-sources/plc4x/org/apache/plc4x/java/cbus/readwrite/IdentifyReplyCommandGAVPhysicalAddresses.java:66,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/opcua/target/generated-sources/plc4x/org/apache/plc4x/java/opcua/readwrite/SignatureData.java:67,Security (Vulnerabilities)
To-Do,New,Normal,B227CB65-6F20-4472-BBB7-13E157F32F6E: System Information Leak: Internal,Low,,plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java:220,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetEventSummariesList.java:117,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/s7/target/generated-sources/plc4x/org/apache/plc4x/java/s7/readwrite/COTPPacket.java:109,Security (Vulnerabilities)
To-Do,New,Normal,1834C857-2848-41F2-98F7-D5C5F157E729: Missing Check for Null Parameter,Low,,plc4j/drivers/opcua/target/generated-sources/plc4x/org/apache/plc4x/java/opcua/readwrite/RegisterNodesResponse.java:173,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/knxnetip/target/generated-sources/plc4x/org/apache/plc4x/java/knxnetip/readwrite/MPropInfoInd.java:79,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/c-bus/target/generated-sources/plc4x/org/apache/plc4x/java/cbus/readwrite/RequestReset.java:89,Security (Vulnerabilities)
To-Do,New,Normal,0C82D0B5-1B23-4D56-B38E-F6263A454766: Dead Code: Expression is Always true,Low,,plc4j/drivers/opcua/target/generated-sources/plc4x/org/apache/plc4x/java/opcua/readwrite/NotificationData.java:104,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/modbus/target/generated-sources/plc4x/org/apache/plc4x/java/modbus/readwrite/ModbusPDUReadWriteMultipleHoldingRegistersResponse.java:69,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetConstructedDataMaxSegmentsAccepted.java:104,Security (Vulnerabilities)
To-Do,New,Normal,0C82D0B5-1B23-4D56-B38E-F6263A454766: Dead Code: Expression is Always true,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetPriorityValueEnumerated.java:139,Security (Vulnerabilities)
To-Do,New,Normal,0C82D0B5-1B23-4D56-B38E-F6263A454766: Dead Code: Expression is Always true,Low,,plc4j/drivers/profinet/target/generated-sources/plc4x/org/apache/plc4x/java/profinet/readwrite/PnDcp_Block_DhcpOptionVendorSpecificInformation.java:111,Security (Vulnerabilities)
To-Do,New,Normal,0C82D0B5-1B23-4D56-B38E-F6263A454766: Dead Code: Expression is Always true,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetConstructedDataUnspecified.java:233,Security (Vulnerabilities)
To-Do,New,Normal,0C82D0B5-1B23-4D56-B38E-F6263A454766: Dead Code: Expression is Always true,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetShedStateTagged.java:181,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/c-bus/target/generated-sources/plc4x/org/apache/plc4x/java/cbus/readwrite/IdentifyReplyCommandNetworkVoltage.java:131,Security (Vulnerabilities)
To-Do,New,Normal,0C82D0B5-1B23-4D56-B38E-F6263A454766: Dead Code: Expression is Always true,Low,,plc4j/drivers/knxnetip/target/generated-sources/plc4x/org/apache/plc4x/java/knxnetip/readwrite/ConnectionStateRequest.java:186,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/canopen/target/generated-sources/plc4x/org/apache/plc4x/java/canopen/readwrite/CANOpenPDO.java:54,Security (Vulnerabilities)
To-Do,New,Normal,03840C20-F22B-B900-B76E-63258B717C77: Redundant Null Check,Low,,plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java:195,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/opcua/target/generated-sources/plc4x/org/apache/plc4x/java/opcua/readwrite/VariantUInt32.java:93,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/opcua/target/generated-sources/plc4x/org/apache/plc4x/java/opcua/readwrite/ContinuationPoint.java:92,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/opcua/target/generated-sources/plc4x/org/apache/plc4x/java/opcua/readwrite/ServiceFault.java:61,Security (Vulnerabilities)
To-Do,New,Normal,1834C857-2848-41F2-98F7-D5C5F157E729: Missing Check for Null Parameter,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetConstructedDataPulseConverterAdjustValue.java:176,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetBinaryPVTagged.java:137,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetConstructedDataLocalDate.java:130,Security (Vulnerabilities)
To-Do,New,Normal,1834C857-2848-41F2-98F7-D5C5F157E729: Missing Check for Null Parameter,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetConstructedDataNetworkSecurityAll.java:136,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetCalendarEntryWeekNDay.java:88,Security (Vulnerabilities)
To-Do,New,Normal,85E603E0-2933-4F38-851F-341604F75CB9: Poor Error Handling: Overly Broad Catch,Low,,plc4j/tools/connection-cache/src/main/java/org/apache/plc4x/java/utils/connectionpool2/CachedDriverManager.java:137,Security (Vulnerabilities)
To-Do,New,Normal,1834C857-2848-41F2-98F7-D5C5F157E729: Missing Check for Null Parameter,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetConstructedDataCredentials.java:163,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/eip/target/generated-sources/plc4x/org/apache/plc4x/java/eip/readwrite/CipReadRequest.java:76,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetConstructedDataPositiveIntegerValueFaultLowLimit.java:103,Security (Vulnerabilities)
To-Do,New,Normal,6CAF37AA-5BC1-464C-BA3F-840CDDB950CC: Obsolete,Low,,code-generation/protocol-base-mspec/target/generated-sources/antlr4/org/apache/plc4x/plugins/codegenerator/language/mspec/expression/ExpressionParser.java:78,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetPropertyStatesLifeSafetyState.java:77,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/opcua/target/generated-sources/plc4x/org/apache/plc4x/java/opcua/readwrite/ParsingResult.java:120,Security (Vulnerabilities)
To-Do,New,Normal,0C82D0B5-1B23-4D56-B38E-F6263A454766: Dead Code: Expression is Always true,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetPropertyAccessResultAccessResultPropertyAccessError.java:177,Security (Vulnerabilities)
To-Do,New,Normal,771E5717-2B4D-64FC-9A63-E16701E24D0D: Redundant Null Check,Low,,plc4j/drivers/s7/target/generated-sources/plc4x/org/apache/plc4x/java/s7/readwrite/COTPParameter.java:100,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/knxnetip/target/generated-sources/plc4x/org/apache/plc4x/java/knxnetip/readwrite/ConnectionStateRequest.java:122,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/opcua/target/generated-sources/plc4x/org/apache/plc4x/java/opcua/readwrite/MessagePDU.java:86,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetRouterEntryStatusTagged.java:105,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetCOVMultipleSubscription.java:122,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetReadAccessPropertyReadResult.java:116,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/protocol/S7ProtocolLogic.java:478,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetConstructedDataTimePatternValuePresentValue.java:131,Security (Vulnerabilities)
