Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S100:  ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ4KzLdrJGM29xH8 Path: Analisi-1:plc4j/drivers/bacnet/src/main/java/org/apache/plc4x/java/bacnetip/readwrite/utils/StaticHelper.java - startLine: 669;startOffset: 57;endOffset: 80;endLine: 669,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1068:  ""Remove this unused adsVersion private field.""",MAJOR,5min,Key: AYRYwJ5EzLdrJGM29xJP Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/protocol/AdsProtocolLogic.java - startLine: 77;startOffset: 19;endOffset: 29;endLine: 77,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1068:  ""Remove this unused clientPublicKey private field.""",MAJOR,5min,Key: AYRYwJ-ezLdrJGM29xgC Path: Analisi-1:plc4j/drivers/opcua/src/main/java/org/apache/plc4x/java/opcua/context/EncryptionHandler.java - startLine: 53;startOffset: 22;endOffset: 37;endLine: 53,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1068:  ""Remove this unused configProps private field.""",MAJOR,5min,Key: AYRYwKL-zLdrJGM29xpV Path: Analisi-1:plc4j/integrations/apache-kafka/src/main/java/org/apache/plc4x/kafka/Plc4xSourceConnector.java - startLine: 39;startOffset: 32;endOffset: 43;endLine: 39,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1068:  ""Remove this unused configProps private field.""",MAJOR,5min,Key: AYRYwKL5zLdrJGM29xpQ Path: Analisi-1:plc4j/integrations/apache-kafka/src/main/java/org/apache/plc4x/kafka/Plc4xSinkConnector.java - startLine: 38;startOffset: 32;endOffset: 43;endLine: 38,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1068:  ""Remove this unused configs private field.""",MAJOR,5min,Key: AYRYwKLbzLdrJGM29xoo Path: Analisi-1:plc4j/integrations/apache-kafka/src/main/java/org/apache/plc4x/kafka/config/Tag.java - startLine: 30;startOffset: 25;endOffset: 32;endLine: 30,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1068:  ""Remove this unused connection private field.""",MAJOR,5min,Key: AYRYwKJ9zLdrJGM29xnh Path: Analisi-1:plc4j/tools/ui/src/main/java/org/apache/plc4x/java/ui/ConnectionTabController.java - startLine: 47;startOffset: 26;endOffset: 36;endLine: 47,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1068:  ""Remove this unused context private field.""",MAJOR,5min,Key: AYRYwKRqzLdrJGM29xvW Path: Analisi-1:plc4j/utils/plc-simulator/src/main/java/org/apache/plc4x/simulator/server/cbus/protocol/CBusServerAdapter.java - startLine: 44;startOffset: 20;endOffset: 27;endLine: 44,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1068:  ""Remove this unused deviceName private field.""",MAJOR,5min,Key: AYRYwJ5EzLdrJGM29xJQ Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/protocol/AdsProtocolLogic.java - startLine: 78;startOffset: 19;endOffset: 29;endLine: 78,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1068:  ""Remove this unused tm private field.""",MAJOR,5min,Key: AYRYwKAOzLdrJGM29xic Path: Analisi-1:plc4j/drivers/c-bus/src/main/java/org/apache/plc4x/java/cbus/protocol/CBusProtocolLogic.java - startLine: 35;startOffset: 38;endOffset: 40;endLine: 35,Maintenance (Code Smells)
To-Do,New,Normal,"java:S107:  ""Constructor has 10 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYRYwJsazLdrJGM29w-k Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/connection/SingleProtocolStackConfigurer.java - startLine: 71;startOffset: 4;endOffset: 33;endLine: 71,Maintenance (Code Smells)
To-Do,New,Normal,"java:S107:  ""Constructor has 10 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYRYwKG5zLdrJGM29xk6 Path: Analisi-1:plc4j/tools/scraper/src/main/java/org/apache/plc4x/java/scraper/triggeredscraper/TriggeredScraperTask.java - startLine: 68;startOffset: 11;endOffset: 31;endLine: 68,Maintenance (Code Smells)
To-Do,New,Normal,"java:S107:  ""Constructor has 10 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYRYwKS8zLdrJGM29xwY Path: Analisi-1:plc4j/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/CliOptions.java - startLine: 171;startOffset: 11;endOffset: 21;endLine: 171,Maintenance (Code Smells)
To-Do,New,Normal,"java:S107:  ""Constructor has 14 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYRYwJsuzLdrJGM29w-x Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/connection/DefaultNettyPlcConnection.java - startLine: 68;startOffset: 11;endOffset: 36;endLine: 68,Maintenance (Code Smells)
To-Do,New,Normal,"java:S107:  ""Constructor has 15 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYRYwJ35zLdrJGM29xGh Path: Analisi-1:plc4j/drivers/bacnet/src/main/java/org/apache/plc4x/java/bacnetip/ede/model/Datapoint.java - startLine: 49;startOffset: 11;endOffset: 20;endLine: 49,Maintenance (Code Smells)
To-Do,New,Normal,"java:S107:  ""Constructor has 8 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYRYwJs0zLdrJGM29w-3 Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/connection/AbstractPlcConnection.java - startLine: 63;startOffset: 14;endOffset: 35;endLine: 63,Maintenance (Code Smells)
To-Do,New,Normal,"java:S107:  ""Constructor has 8 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYRYwJvezLdrJGM29xAe Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/internal/DefaultExpectRequestContext.java - startLine: 60;startOffset: 14;endOffset: 41;endLine: 60,Maintenance (Code Smells)
To-Do,New,Normal,"java:S107:  ""Constructor has 8 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYRYwKHKzLdrJGM29xlP Path: Analisi-1:plc4j/tools/scraper/src/main/java/org/apache/plc4x/java/scraper/ScraperTaskImpl.java - startLine: 70;startOffset: 11;endOffset: 26;endLine: 70,Maintenance (Code Smells)
To-Do,New,Normal,"java:S107:  ""Constructor has 9 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYRYwJs9zLdrJGM29w-6 Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/connection/CustomProtocolStackConfigurer.java - startLine: 64;startOffset: 4;endOffset: 33;endLine: 64,Maintenance (Code Smells)
To-Do,New,Normal,"java:S107:  ""Constructor has 9 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYRYwJvazLdrJGM29xAY Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/internal/DefaultSendRequestContext.java - startLine: 60;startOffset: 14;endOffset: 39;endLine: 60,Maintenance (Code Smells)
To-Do,New,Normal,"java:S107:  ""Constructor has 9 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYRYwKPxzLdrJGM29xsP Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/driver/internal/DriverTestsuiteConfiguration.java - startLine: 39;startOffset: 11;endOffset: 39;endLine: 39,Maintenance (Code Smells)
To-Do,New,Normal,"java:S107:  ""Constructor has 9 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYRYwKQYzLdrJGM29xs0 Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/parserserializer/model/Testcase.java - startLine: 42;startOffset: 11;endOffset: 19;endLine: 42,Maintenance (Code Smells)
To-Do,New,Normal,"java:S107:  ""Method has 8 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYRYwKIUzLdrJGM29xmM Path: Analisi-1:plc4j/tools/opm/src/main/java/org/apache/plc4x/java/opm/PlcEntityInterceptor.java - startLine: 397;startOffset: 26;endOffset: 43;endLine: 397,Maintenance (Code Smells)
To-Do,New,Normal,"java:S107:  ""Method has 8 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYRYwKP5zLdrJGM29xsa Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/migration/MessageValidatorAndMigrator.java - startLine: 66;startOffset: 23;endOffset: 56;endLine: 66,Maintenance (Code Smells)
To-Do,New,Normal,"java:S107:  ""Method has 8 parameters which is greater than 7 authorized.""",MAJOR,20min,Key: AYRYwKP5zLdrJGM29xsb Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/migration/MessageValidatorAndMigrator.java - startLine: 86;startOffset: 26;endOffset: 59;endLine: 86,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1075:  ""Refactor your code to get this URI from a customizable parameter.""",MINOR,20min,Key: AYRYwKRBzLdrJGM29xtQ Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/DisableOnParallelsVmFlagCondition.java - startLine: 57;startOffset: 44;endOffset: 86;endLine: 57,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1075:  ""Refactor your code to get this URI from a customizable parameter.""",MINOR,20min,Key: AYTizQVvrw1gdFIeCCkd Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/RequirePcapNgCondition.java - startLine: 47;startOffset: 29;endOffset: 67;endLine: 47,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1075:  ""Refactor your code to get this URI from a customizable parameter.""",MINOR,20min,Key: AYTizQVvrw1gdFIeCCke Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/RequirePcapNgCondition.java - startLine: 49;startOffset: 36;endOffset: 67;endLine: 49,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1075:  ""Remove this hard-coded path-delimiter.""",MINOR,20min,Key: AYRYwKa1zLdrJGM29x1M Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/protocol/ProtocolHelpers.java - startLine: 50;startOffset: 69;endOffset: 72;endLine: 50,Maintenance (Code Smells)
To-Do,New,Normal,"java:S108:  ""Either remove or fill this block of code.""",MAJOR,5min,Key: AYRYwJ6dzLdrJGM29xKA Path: Analisi-1:plc4j/drivers/firmata/src/main/java/org/apache/plc4x/java/firmata/readwrite/utils/StaticHelper.java - startLine: 44;startOffset: 43;endOffset: 44;endLine: 44,Maintenance (Code Smells)
To-Do,New,Normal,"java:S108:  ""Either remove or fill this block of code.""",MAJOR,5min,Key: AYRYwJ8_zLdrJGM29xcZ Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/protocol/S7ProtocolLogic.java - startLine: 637;startOffset: 120;endOffset: 121;endLine: 637,Maintenance (Code Smells)
To-Do,New,Normal,"java:S108:  ""Either remove or fill this block of code.""",MAJOR,5min,Key: AYRYwJ8ezLdrJGM29xax Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1645;startOffset: 48;endOffset: 49;endLine: 1645,Maintenance (Code Smells)
To-Do,New,Normal,"java:S108:  ""Either remove or fill this block of code.""",MAJOR,5min,Key: AYRYwJ8ezLdrJGM29xaZ Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1521;startOffset: 48;endOffset: 49;endLine: 1521,Maintenance (Code Smells)
To-Do,New,Normal,"java:S108:  ""Either remove or fill this block of code.""",MAJOR,5min,Key: AYRYwJ8ezLdrJGM29xZF Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 855;startOffset: 35;endOffset: 36;endLine: 855,Maintenance (Code Smells)
To-Do,New,Normal,"java:S108:  ""Either remove or fill this block of code.""",MAJOR,5min,Key: AYRYwJy7zLdrJGM29xDh Path: Analisi-1:plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/protocol/ProfinetProtocolLogic.java - startLine: 205;startOffset: 66;endOffset: 67;endLine: 205,Maintenance (Code Smells)
To-Do,New,Normal,"java:S108:  ""Either remove or fill this block of code.""",MAJOR,5min,Key: AYRYwKIyzLdrJGM29xmd Path: Analisi-1:plc4j/tools/connection-cache/src/main/java/org/apache/plc4x/java/utils/connectionpool2/CachedDriverManager.java - startLine: 95;startOffset: 35;endOffset: 36;endLine: 95,Maintenance (Code Smells)
To-Do,New,Normal,"java:S108:  ""Either remove or fill this block of code.""",MAJOR,5min,Key: AYRYwKIyzLdrJGM29xmf Path: Analisi-1:plc4j/tools/connection-cache/src/main/java/org/apache/plc4x/java/utils/connectionpool2/CachedDriverManager.java - startLine: 170;startOffset: 43;endOffset: 44;endLine: 170,Maintenance (Code Smells)
To-Do,New,Normal,"java:S110:  ""This class has 6 parents which is greater than 5 authorized.""",MAJOR,4h30min,Key: AYRYwJ1jzLdrJGM29xE9 Path: Analisi-1:plc4j/drivers/ab-eth/src/main/java/org/apache/plc4x/java/abeth/protocol/Plc4xAbEthProtocol.java - startLine: 47;startOffset: 13;endOffset: 31;endLine: 47,Maintenance (Code Smells)
To-Do,New,Normal,"java:S110:  ""This class has 6 parents which is greater than 5 authorized.""",MAJOR,4h30min,Key: AYRYwJsVzLdrJGM29w-i Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/connection/GeneratedProtocolMessageCodec.java - startLine: 28;startOffset: 13;endOffset: 42;endLine: 28,Maintenance (Code Smells)
To-Do,New,Normal,"java:S110:  ""This class has 6 parents which is greater than 5 authorized.""",MAJOR,4h30min,Key: AYRYwKSJzLdrJGM29xvl Path: Analisi-1:plc4j/utils/pcap-replay/src/main/java/org/apache/plc4x/java/utils/pcapreplay/netty/PcapReplayChannel.java - startLine: 45;startOffset: 13;endOffset: 30;endLine: 45,Maintenance (Code Smells)
To-Do,New,Normal,"java:S110:  ""This class has 6 parents which is greater than 5 authorized.""",MAJOR,4h30min,Key: AYRYwKSWzLdrJGM29xvu Path: Analisi-1:plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/RawSocketChannel.java - startLine: 49;startOffset: 13;endOffset: 29;endLine: 49,Maintenance (Code Smells)
To-Do,New,Normal,"java:S110:  ""This class has 6 parents which is greater than 5 authorized.""",MAJOR,4h30min,Key: AYRYwKVszLdrJGM29xyL Path: Analisi-1:plc4j/transports/socketcan/src/main/java/org/apache/plc4x/java/transport/socketcan/netty/SocketCANChannel.java - startLine: 47;startOffset: 13;endOffset: 29;endLine: 47,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1104:  ""Make DebugHex a static final constant or non-public and provide accessors if needed.""",MINOR,10min,Key: AYRYwJo-zLdrJGM29w9e Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/utils/hex/Hex.java - startLine: 67;startOffset: 26;endOffset: 34;endLine: 67,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1104:  ""Make DEFAULT a static final constant or non-public and provide accessors if needed.""",MINOR,10min,Key: AYRYwJozzLdrJGM29w9L Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/utils/ascii/AsciiBoxWriter.java - startLine: 36;startOffset: 33;endOffset: 40;endLine: 36,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1104:  ""Make LIGHT a static final constant or non-public and provide accessors if needed.""",MINOR,10min,Key: AYRYwJozzLdrJGM29w9M Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/utils/ascii/AsciiBoxWriter.java - startLine: 39;startOffset: 33;endOffset: 38;endLine: 39,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1104:  ""Make logger a static final constant or non-public and provide accessors if needed.""",MINOR,10min,Key: AYU_8-sjAPwTPIF66Tsc Path: Analisi-1:plc4j/drivers/knxnetip/src/main/java/org/apache/plc4x/java/knxnetip/utils/KnxHelper.java - startLine: 29;startOffset: 25;endOffset: 31;endLine: 29,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1104:  ""Make responseFuture a static final constant or non-public and provide accessors if needed.""",MINOR,10min,Key: AYRYwKPCzLdrJGM29xr_ Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/driver/internal/utils/Synchronizer.java - startLine: 28;startOffset: 52;endOffset: 66;endLine: 28,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1110:  ""Remove these useless parentheses.""",MAJOR,1min,Key: AYRYwJ8ezLdrJGM29xZq Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1196;startOffset: 28;endOffset: 29;endLine: 1196,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1116:  ""Remove this empty statement.""",MINOR,2min,Key: AYRYwJ-yzLdrJGM29xgl Path: Analisi-1:plc4j/drivers/opcua/src/main/java/org/apache/plc4x/java/opcua/protocol/OpcuaProtocolLogic.java - startLine: 202;startOffset: 16;endOffset: 17;endLine: 202,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1116:  ""Remove this empty statement.""",MINOR,2min,Key: AYRYwJ71zLdrJGM29xWF Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/events/S7AlarmEvent.java - startLine: 144;startOffset: 5;endOffset: 6;endLine: 144,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1116:  ""Remove this empty statement.""",MINOR,2min,Key: AYRYwJ71zLdrJGM29xWI Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/events/S7AlarmEvent.java - startLine: 294;startOffset: 5;endOffset: 6;endLine: 294,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1116:  ""Remove this empty statement.""",MINOR,2min,Key: AYRYwJ8ezLdrJGM29xab Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1534;startOffset: 20;endOffset: 21;endLine: 1534,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1116:  ""Remove this empty statement.""",MINOR,2min,Key: AYRYwJ8ezLdrJGM29xaW Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1514;startOffset: 20;endOffset: 21;endLine: 1514,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1116:  ""Remove this empty statement.""",MINOR,2min,Key: AYRYwJ8ezLdrJGM29xZE Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 831;startOffset: 24;endOffset: 25;endLine: 831,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1116:  ""Remove this empty statement.""",MINOR,2min,Key: AYRYwJ8ezLdrJGM29xZH Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 945;startOffset: 16;endOffset: 17;endLine: 945,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1116:  ""Remove this empty statement.""",MINOR,2min,Key: AYRYwJ8ezLdrJGM29xZI Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 943;startOffset: 16;endOffset: 17;endLine: 943,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1116:  ""Remove this empty statement.""",MINOR,2min,Key: AYRYwKK9zLdrJGM29xoN Path: Analisi-1:plc4j/integrations/apache-camel/src/main/java/org/apache/plc4x/camel/TagData.java - startLine: 103;startOffset: 5;endOffset: 6;endLine: 103,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename config which hides the field declared at line 47.""",MAJOR,5min,Key: AYRYwKWVzLdrJGM29xyn Path: Analisi-1:plc4j/transports/serial/src/main/java/org/apache/plc4x/java/transport/serial/SerialChannel.java - startLine: 264;startOffset: 32;endOffset: 38;endLine: 264,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename dataType which hides the field declared at line 49.""",MAJOR,5min,Key: AYTizPzXrw1gdFIeCCiC Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/base/tag/ModbusTag.java - startLine: 148;startOffset: 15;endOffset: 23;endLine: 148,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename dataType which hides the field declared at line 76.""",MAJOR,5min,Key: AYTizQClrw1gdFIeCCjf Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/tag/S7Tag.java - startLine: 352;startOffset: 15;endOffset: 23;endLine: 352,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename driverContext which hides the field declared at line 51.""",MAJOR,5min,Key: AYRYwJs9zLdrJGM29w-- Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/connection/CustomProtocolStackConfigurer.java - startLine: 100;startOffset: 22;endOffset: 35;endLine: 100,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename endpoint which hides the field declared at line 104.""",MAJOR,5min,Key: AYRYwJ-NzLdrJGM29xfj Path: Analisi-1:plc4j/drivers/opcua/src/main/java/org/apache/plc4x/java/opcua/context/SecureChannel.java - startLine: 1114;startOffset: 34;endOffset: 42;endLine: 1114,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename endpoint which hides the field declared at line 104.""",MAJOR,5min,Key: AYRYwJ-NzLdrJGM29xfX Path: Analisi-1:plc4j/drivers/opcua/src/main/java/org/apache/plc4x/java/opcua/context/SecureChannel.java - startLine: 879;startOffset: 59;endOffset: 67;endLine: 879,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename endpoints which hides the field declared at line 124.""",MAJOR,5min,Key: AYRYwJ-NzLdrJGM29xfD Path: Analisi-1:plc4j/drivers/opcua/src/main/java/org/apache/plc4x/java/opcua/context/SecureChannel.java - startLine: 471;startOffset: 17;endOffset: 26;endLine: 471,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename endpoints which hides the field declared at line 124.""",MAJOR,5min,Key: AYRYwJ-NzLdrJGM29xfW Path: Analisi-1:plc4j/drivers/opcua/src/main/java/org/apache/plc4x/java/opcua/context/SecureChannel.java - startLine: 878;startOffset: 60;endOffset: 69;endLine: 878,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename fields which hides the field declared at line 32.""",MAJOR,5min,Key: AYRYwKY2zLdrJGM29x0F Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/model/definitions/DefaultComplexTypeDefinition.java - startLine: 128;startOffset: 20;endOffset: 26;endLine: 128,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename fields which hides the field declared at line 32.""",MAJOR,5min,Key: AYRYwKY2zLdrJGM29x0H Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/model/definitions/DefaultComplexTypeDefinition.java - startLine: 138;startOffset: 28;endOffset: 34;endLine: 138,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1117:  ""Rename fields which hides the field declared at line 32.""",MAJOR,5min,Key: AYRYwKY2zLdrJGM29x0J Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/model/definitions/DefaultComplexTypeDefinition.java - startLine: 148;startOffset: 27;endOffset: 33;endLine: 148,Maintenance (Code Smells)
